===============================================================================
Id,NIFTYBEES,len,datetime,open,high,low,close,volume,openinterest,Backtest,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,NIFTYBEES,1,2013-01-01 23:59:59.999989,595.95,604.8,595.95,602.15,51854.0,595.95,Backtest,1,734869.9999999999,Broker,1,100000.0,100000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,NIFTYBEES,2,2013-01-02 23:59:59.999989,603.5,604.7,602.53,603.56,135640.0,602.53,Backtest,2,734870.9999999999,Broker,2,100000.0,100000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,NIFTYBEES,3,2013-01-03 23:59:59.999989,604.0,607.0,603.0,604.73,55935.0,603.0,Backtest,3,734871.9999999999,Broker,3,100000.0,100000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,NIFTYBEES,4,2013-01-04 23:59:59.999989,604.7,606.25,602.0,605.65,44729.0,602.0,Backtest,4,734872.9999999999,Broker,4,100000.0,100000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,NIFTYBEES,5,2013-01-07 23:59:59.999989,605.11,606.95,602.61,603.21,25452.0,602.61,Backtest,5,734875.9999999999,Broker,5,100000.0,100000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,NIFTYBEES,6,2013-01-08 23:59:59.999989,603.2,605.0,601.0,604.23,48755.0,601.0,Backtest,6,734876.9999999999,Broker,6,100000.0,100000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,NIFTYBEES,7,2013-01-09 23:59:59.999989,606.0,606.0,600.0,601.32,53553.0,600.0,Backtest,7,734877.9999999999,Broker,7,100000.0,100000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,NIFTYBEES,8,2013-01-10 23:59:59.999989,603.0,604.72,599.5,600.61,54564.0,599.5,Backtest,8,734878.9999999999,Broker,8,100000.0,100000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,NIFTYBEES,9,2013-01-11 23:59:59.999989,601.0,604.85,598.5,599.27,65414.0,598.5,Backtest,9,734879.9999999999,Broker,9,100000.0,100000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,NIFTYBEES,10,2013-01-14 23:59:59.999989,600.0,610.4,599.11,607.22,56132.0,599.11,Backtest,10,734882.9999999999,Broker,10,100000.0,100000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,NIFTYBEES,11,2013-01-15 23:59:59.999989,607.6,611.0,605.27,609.98,52950.0,605.27,Backtest,11,734883.9999999999,Broker,11,100000.0,100000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,NIFTYBEES,12,2013-01-16 23:59:59.999989,609.01,609.89,605.0,606.45,40999.0,605.0,Backtest,12,734884.9999999999,Broker,12,100000.0,100000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,NIFTYBEES,13,2013-01-17 23:59:59.999989,608.0,609.2,603.75,607.95,44723.0,603.75,Backtest,13,734885.9999999999,Broker,13,100000.0,100000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,NIFTYBEES,14,2013-01-18 23:59:59.999989,609.0,614.7,609.0,610.52,68884.0,609.0,Backtest,14,734886.9999999999,Broker,14,100000.0,100000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,NIFTYBEES,15,2013-01-21 23:59:59.999989,611.0,615.0,610.05,614.37,50128.0,610.05,Backtest,15,734889.9999999999,Broker,15,100000.0,100000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,NIFTYBEES,16,2013-01-22 23:59:59.999989,614.0,614.5,608.03,608.96,60189.0,608.03,Backtest,16,734890.9999999999,Broker,16,100000.0,100000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,NIFTYBEES,17,2013-01-23 23:59:59.999989,609.0,612.1,606.0,610.82,107984.0,606.0,Backtest,17,734891.9999999999,Broker,17,100000.0,100000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,NIFTYBEES,18,2013-01-24 23:59:59.999989,610.0,610.2,605.4,606.1,63671.0,605.4,Backtest,18,734892.9999999999,Broker,18,100000.0,100000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,NIFTYBEES,19,2013-01-25 23:59:59.999989,591.21,611.98,591.21,611.44,57243.0,591.21,Backtest,19,734893.9999999999,Broker,19,100000.0,100000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,NIFTYBEES,20,2013-01-28 23:59:59.999989,612.0,613.0,610.23,612.69,57893.0,610.23,Backtest,20,734896.9999999999,Broker,20,100000.0,100000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,NIFTYBEES,21,2013-01-29 23:59:59.999989,612.0,617.0,609.01,609.76,74878.0,609.01,Backtest,21,734897.9999999999,Broker,21,100000.0,100000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,NIFTYBEES,22,2013-01-30 23:59:59.999989,611.0,613.5,608.95,610.83,80711.0,608.95,Backtest,22,734898.9999999999,Broker,22,100000.0,100000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,NIFTYBEES,23,2013-01-31 23:59:59.999989,611.0,611.5,607.55,608.57,45916.0,607.55,Backtest,23,734899.9999999999,Broker,23,100000.0,100000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,NIFTYBEES,24,2013-02-01 23:59:59.999989,609.0,612.0,605.11,606.07,52832.0,605.11,Backtest,24,734900.9999999999,Broker,24,100000.0,100000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,NIFTYBEES,25,2013-02-04 23:59:59.999989,607.0,608.99,600.8,602.1,33558.0,600.8,Backtest,25,734903.9999999999,Broker,25,100000.0,100000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,NIFTYBEES,26,2013-02-05 23:59:59.999989,600.99,601.48,599.35,600.64,46611.0,599.35,Backtest,26,734904.9999999999,Broker,26,100000.0,100000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,NIFTYBEES,27,2013-02-06 23:59:59.999989,601.0,602.5,599.8,600.01,21451.0,599.8,Backtest,27,734905.9999999999,Broker,27,100000.0,100000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,NIFTYBEES,28,2013-02-07 23:59:59.999989,599.0,601.9,596.9,598.02,67427.0,596.9,Backtest,28,734906.9999999999,Broker,28,100000.0,100000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,NIFTYBEES,29,2013-02-08 23:59:59.999989,600.0,600.0,590.95,592.77,49693.0,590.95,Backtest,29,734907.9999999999,Broker,29,100000.0,100000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,NIFTYBEES,30,2013-02-11 23:59:59.999989,593.0,596.0,593.0,594.64,26723.0,593.0,Backtest,30,734910.9999999999,Broker,30,100000.0,100000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,NIFTYBEES,31,2013-02-12 23:59:59.999989,594.0,597.0,593.15,596.54,16310.0,593.15,Backtest,31,734911.9999999999,Broker,31,100000.0,100000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,NIFTYBEES,32,2013-02-13 23:59:59.999989,597.0,601.0,597.0,598.35,40521.0,597.0,Backtest,32,734912.9999999999,Broker,32,100000.0,100000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,NIFTYBEES,33,2013-02-14 23:59:59.999989,599.0,599.0,591.27,593.41,57350.0,591.27,Backtest,33,734913.9999999999,Broker,33,100000.0,100000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,NIFTYBEES,34,2013-02-15 23:59:59.999989,593.0,594.89,589.5,592.68,46799.0,589.5,Backtest,34,734914.9999999999,Broker,34,100000.0,100000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,NIFTYBEES,35,2013-02-18 23:59:59.999989,592.7,595.9,591.0,593.8,27423.0,591.0,Backtest,35,734917.9999999999,Broker,35,100000.0,100000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,NIFTYBEES,36,2013-02-19 23:59:59.999989,595.0,599.0,592.21,598.11,43171.0,592.21,Backtest,36,734918.9999999999,Broker,36,100000.0,100000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,NIFTYBEES,37,2013-02-20 23:59:59.999989,599.0,603.9,599.0,602.41,20073.0,599.0,Backtest,37,734919.9999999999,Broker,37,100000.0,100000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
